Feature,Importance
Session_Duration (hours),0.8403707769964591
Avg_BPM,0.09975622898126442
Age,0.019308034116226332
Fat_Percentage,0.011941754975218334
Gender_Female,0.005814531855110435
Gender_Male,0.005542011975368604
Height (m),0.0041008968799876545
Weight (kg),0.0033605228875777716
Water_Intake (liters),0.0025016184286550903
BMI,0.002181154880969116
Resting_BPM,0.001352202203272307
Max_BPM,0.0012956498437856885
Heart_Rate_Reserve,0.0011306962193841465
Workout_Frequency (days/week),0.00038948143199669336
Workout_Type_Strength,0.00024730268876940655
Workout_Type_Cardio,0.00024375770276608403
Workout_Type_Yoga,0.0002037982964310696
Workout_Type_HIIT,0.00014052316516982057
Experience_Level,0.00011905647158788617
